date,open,high,low,close,volume
2025-09-08,1.349240,1.355800,1.348260,1.355240,0.000000
2025-09-09,1.355260,1.359060,1.351170,1.352030,0.000000
2025-09-10,1.351980,1.356410,1.351120,1.353270,0.000000
2025-09-11,1.353260,1.358300,1.348860,1.357370,0.000000
2025-09-12,1.357260,1.357520,1.352300,1.355600,0.000000
2025-09-14,1.355060,1.356080,1.354700,1.355230,0.000000
2025-09-15,1.355240,1.362010,1.354700,1.360040,0.000000
2025-09-16,1.360090,1.367190,1.359700,1.365220,0.000000
2025-09-17,1.365250,1.372640,1.361550,1.362910,0.000000
2025-09-18,1.362880,1.366060,1.353390,1.355300,0.000000
2025-09-19,1.355470,1.355930,1.346200,1.347100,0.000000
2025-09-21,1.346280,1.347240,1.346030,1.346250,0.000000
2025-09-22,1.346180,1.352050,1.345200,1.351360,0.000000
2025-09-23,1.351380,1.353650,1.348600,1.352350,0.000000
2025-09-24,1.352380,1.352580,1.342600,1.344910,0.000000
2025-09-25,1.344850,1.346710,1.332280,1.333460,0.000000
2025-09-26,1.333490,1.341300,1.332870,1.339510,0.000000
2025-09-28,1.338750,1.341200,1.338750,1.340680,0.000000
2025-09-29,1.340710,1.345650,1.340600,1.343300,0.000000
2025-09-30,1.343460,1.346700,1.341240,1.344220,0.000000
2025-10-01,1.344170,1.352760,1.343300,1.347810,0.000000
2025-10-02,1.347810,1.351020,1.340000,1.344610,0.000000
2025-10-03,1.344590,1.348620,1.342800,1.347830,0.000000
2025-10-05,1.343200,1.344430,1.342160,1.343170,0.000000
2025-10-06,1.343240,1.349000,1.341400,1.348370,0.000000
2025-10-07,1.348380,1.348430,1.339140,1.342000,0.000000
2025-10-08,1.341970,1.343850,1.336900,1.339990,0.000000
2025-10-09,1.339990,1.341900,1.327800,1.330220,0.000000
2025-10-10,1.330250,1.337080,1.326120,1.334890,0.000000
2025-10-12,1.332590,1.335370,1.332590,1.333530,0.000000
2025-10-13,1.333500,1.336610,1.330500,1.333180,0.000000
2025-10-14,1.333130,1.335300,1.324800,1.332140,0.000000
2025-10-15,1.332070,1.340780,1.331940,1.340260,0.000000
2025-10-16,1.340310,1.345450,1.339800,1.344360,0.000000
2025-10-17,1.344350,1.347200,1.338900,1.342040,0.000000
2025-10-19,1.342350,1.343100,1.342090,1.342470,0.000000
2025-10-20,1.342470,1.344300,1.339800,1.340400,0.000000
2025-10-21,1.340390,1.341700,1.335880,1.336480,0.000000
2025-10-22,1.336480,1.338670,1.330450,1.335030,0.000000
2025-10-23,1.335030,1.335720,1.330680,1.332630,0.000000
2025-10-24,1.332620,1.337300,1.328660,1.330380,0.000000
2025-10-26,1.331880,1.332680,1.331620,1.332120,0.000000
2025-10-27,1.332100,1.335310,1.330900,1.333980,0.000000
2025-10-28,1.333800,1.337000,1.324670,1.327800,0.000000
2025-10-29,1.327780,1.328010,1.313930,1.319200,0.000000
2025-10-30,1.319300,1.321900,1.311550,1.315820,0.000000
2025-10-31,1.315820,1.316500,1.309500,1.314590,0.000000
2025-11-02,1.312650,1.314170,1.312650,1.313360,0.000000
2025-11-03,1.313360,1.316240,1.310750,1.313400,0.000000
2025-11-04,1.313400,1.313920,1.300900,1.302060,0.000000
2025-11-05,1.302050,1.305500,1.300900,1.305000,0.000000
2025-11-06,1.305160,1.314250,1.304900,1.313950,0.000000
2025-11-07,1.313970,1.317500,1.309300,1.315540,0.000000
2025-11-09,1.314290,1.315940,1.313820,1.314070,0.000000
2025-11-10,1.314080,1.319120,1.313590,1.317130,0.000000
2025-11-11,1.317140,1.318470,1.311550,1.315150,0.000000
2025-11-12,1.315170,1.315540,1.308300,1.312730,0.000000
2025-11-13,1.312700,1.321580,1.310000,1.315230,0.000000
2025-11-14,1.315230,1.320040,1.310700,1.316900,0.000000
2025-11-16,1.314900,1.317100,1.314900,1.315850,0.000000
2025-11-17,1.315850,1.319310,1.313400,1.315480,0.000000
2025-11-18,1.315480,1.317700,1.313280,1.314660,0.000000
2025-11-19,1.314650,1.315470,1.304200,1.305950,0.000000
2025-11-20,1.305960,1.312370,1.303700,1.308270,0.000000
2025-11-21,1.308290,1.310950,1.303700,1.309700,0.000000
2025-11-23,1.309480,1.309930,1.309180,1.309540,0.000000
2025-11-24,1.309530,1.311800,1.307800,1.310530,0.000000
2025-11-25,1.310540,1.321420,1.309300,1.315760,0.000000
2025-11-26,1.315820,1.324850,1.312330,1.324420,0.000000
2025-11-27,1.324400,1.326820,1.320900,1.323950,0.000000
2025-11-28,1.323980,1.325470,1.319880,1.323200,0.000000
2025-11-30,1.322310,1.324830,1.322110,1.323850,0.000000
2025-12-01,1.323860,1.327510,1.320300,1.320840,0.000000
2025-12-02,1.320840,1.322200,1.317800,1.321940,0.000000
2025-12-03,1.321940,1.335400,1.321680,1.334710,0.000000
2025-12-04,1.334720,1.338490,1.331800,1.332140,0.000000
2025-12-05,1.332140,1.336230,1.331510,1.332890,0.000000
2025-12-07,1.332220,1.333140,1.331660,1.332550,0.000000
2025-12-08,1.332560,1.334630,1.330400,1.332630,0.000000
2025-12-09,1.332650,1.335610,1.328600,1.330220,0.000000
2025-12-10,1.330240,1.339110,1.329500,1.338780,0.000000
2025-12-11,1.338850,1.343820,1.335300,1.339280,0.000000
2025-12-12,1.339300,1.340000,1.334100,1.337200,0.000000
2025-12-14,1.337750,1.337750,1.335890,1.336660,0.000000
2025-12-15,1.336640,1.340200,1.335300,1.337830,0.000000
2025-12-16,1.337830,1.345560,1.335400,1.342480,0.000000
2025-12-17,1.342500,1.342650,1.331000,1.337280,0.000000
2025-12-18,1.337330,1.344640,1.333900,1.338270,0.000000
2025-12-19,1.338270,1.339400,1.335600,1.337700,0.000000
2025-12-21,1.337900,1.338310,1.335940,1.337720,0.000000
2025-12-22,1.337730,1.347800,1.337670,1.346690,0.000000
